Id	N_PLUS_VEGETATIVE_CELL	N_PLUS_HETEROCYST 	N_MINUS_VEGETATIVE_CELL	N_MINUS_HETEROCYST 
TECHNICAL_REPLICATE_1_1_1	14	0	45	4
TECHNICAL_REPLICATE_1_1_2	17	0	35	2
TECHNICAL_REPLICATE_1_1_3	27	1	35	2
TECHNICAL_REPLICATE_1_1_4	35	1	44	2
TECHNICAL_REPLICATE_1_1_5	13	0	46	2
TECHNICAL REPLICATE_1_2_1	44	2	24	1
TECHNICAL REPLICATE_1_2_2	13	1	29	2
TECHNICAL REPLICATE_1_2_3	51	0	24	1
TECHNICAL REPLICATE_1_2_4	31	0	38	2
TECHNICAL REPLICATE_1_2_5	51	0	29	2
TECHNICAL REPLICATE_1_2_6	33	1	30	1
TECHNICAL_REPLICATE_1_3_1	15	0	27	2
TECHNICAL_REPLICATE_1_3_2	42	1	31	3
TECHNICAL_REPLICATE_1_3_3	23	1	45	3
TECHNICAL_REPLICATE_1_3_4	49	1	23	1
TECHNICAL_REPLICATE_1_3_5	16	0	37	3
TECHNICAL_REPLICATE_1_4_1	33	1	80	3
TECHNICAL_REPLICATE_1_4_2	28	0	63	3
TECHNICAL_REPLICATE_1_4_3	43	0	43	2
TECHNICAL_REPLICATE_1_4_4	20	1	54	3
TECHNICAL_REPLICATE_1_4_5	36	1	59	5
TECHNICAL_REPLICATE_1_5_1	20	1	27	2
TECHNICAL_REPLICATE_1_5_2	23	0	29	1
TECHNICAL_REPLICATE_1_5_3	19	0	25	1
TECHNICAL_REPLICATE_1_5_4	16	0	17	1
TECHNICAL_REPLICATE_1_5_5	17	0	29	2
TECHNICAL_REPLICATE_2_1_1	28	0	70	2
TECHNICAL_REPLICATE_2_1_2	22	1	27	3
TECHNICAL_REPLICATE_2_1_3	49	2	53	2
TECHNICAL_REPLICATE_2_1_4	26	1	28	3
TECHNICAL_REPLICATE_2_1_5	21	2	56	3
TECHNICAL_REPLICATE_2_2_1	22	1	100	7
TECHNICAL_REPLICATE_2_2_2	25	0	42	2
TECHNICAL_REPLICATE_2_2_3	26	0	45	5
TECHNICAL_REPLICATE_2_2_4	22	1	57	4
TECHNICAL_REPLICATE_2_2_5	25	0	73	7
TECHNICAL_REPLICATE_2_3_1	27	1	27	3
TECHNICAL_REPLICATE_2_3_2	17	0	30	2
TECHNICAL_REPLICATE_2_3_3	19	1	42	2
TECHNICAL_REPLICATE_2_3_4	23	0	34	2
TECHNICAL_REPLICATE_2_3_5	42	3	25	1
TECHNICAL_REPLICATE_2_4_1	25	0	32	2
TECHNICAL_REPLICATE_2_4_2	24	1	40	2
TECHNICAL_REPLICATE_2_4_3	34	1	25	2
TECHNICAL_REPLICATE_2_4_4	36	1	30	3
TECHNICAL_REPLICATE_2_4_5	24	1	27	2
TECHNICAL_REPLICATE_2_5_1	21	1	37	1
TECHNICAL_REPLICATE_2_5_2	20	0	30	2
TECHNICAL_REPLICATE_2_5_3	12	0	54	3
TECHNICAL_REPLICATE_2_5_4	13	0	32	1
TECHNICAL_REPLICATE_2_5_5	14	1	52	4
TECHNICAL_REPLICATE_3_1_1	17	0	40	2
TECHNICAL_REPLICATE_3_1_2	23	0	37	2
TECHNICAL_REPLICATE_3_1_3	25	0	61	3
TECHNICAL_REPLICATE_3_1_4	37	1	38	3
TECHNICAL_REPLICATE_3_1_5	32	0	70	3
TECHNICAL_REPLICATE_3_2_1	32	1	78	2
TECHNICAL_REPLICATE_3_2_2	32	0	52	2
TECHNICAL_REPLICATE_3_2_3	84	1	58	3
TECHNICAL_REPLICATE_3_2_4	38	1	67	3
TECHNICAL_REPLICATE_3_2_5	54	4	62	4
TECHNICAL_REPLICATE_3_3_1	45	0	94	4
TECHNICAL_REPLICATE_3_3_2	27	0	50	3
TECHNICAL_REPLICATE_3_3_3	29	0	110	6
TECHNICAL_REPLICATE_3_3_4	26	0	45	2
TECHNICAL_REPLICATE_3_3_5	41	1	34	2
TECHNICAL_REPLICATE_3_4_1	39	0	75	2
TECHNICAL_REPLICATE_3_4_2	42	0	37	1
TECHNICAL_REPLICATE_3_4_3	72	0	26	1
TECHNICAL_REPLICATE_3_4_4	79	1	47	3
TECHNICAL_REPLICATE_3_4_5	53	1	25	3
TECHNICAL_REPLICATE_3_5_1	49	0	31	1
TECHNICAL_REPLICATE_3_5_2	89	0	55	6
TECHNICAL_REPLICATE_3_5_3	84	1	99	6
TECHNICAL_REPLICATE_3_5_4	45	1	34	2
TECHNICAL_REPLICATE_3_5_5	62	1	53	4
