N_PLUS_VEGETATIVE_CELL	N_MINUS_VEGETATIVE_CELL
14	45
17	35
27	35
35	44
13	46
44	24
13	29
51	24
31	38
51	29
33	30
15	27
42	31
23	45
49	23
16	37
33	80
28	63
43	43
20	54
36	59
20	27
23	29
19	25
16	17
17	29
28	70
22	27
49	53
26	28
21	56
22	100
25	42
26	45
22	57
25	73
27	27
17	30
19	42
23	34
42	25
25	32
24	40
34	25
36	30
24	27
21	37
20	30
12	54
13	32
14	52
17	40
23	37
25	61
37	38
32	70
32	78
32	52
84	58
38	67
54	62
45	94
27	50
29	110
26	45
41	34
39	75
42	37
72	26
79	47
53	25
49	31
89	55
84	99
45	34
62	53
